"Location","lon","lat","state","geometry"
"alor gajah, melaka",102.2164722,2.3860869,"melaka",c(102.2164722, 2.3860869)
"alor setar, kedah",100.3671695,6.1263074,"kedah",c(100.3671695, 6.1263074)
"balik pulau, penang",100.2347548,5.3507043,"penang",c(100.2347548, 5.3507043)
"balok baru kuantan, pahang",103.3610552,3.9446505,"pahang",c(103.3610552, 3.9446505)
"bandaraya melaka, melaka",102.2500868,2.189594,"melaka",c(102.2500868, 2.189594)
"banting, selangor",101.5025551,2.812098,"selangor",c(101.5025551, 2.812098)
"batu muda, w.p. kuala lumpur",101.6859031,3.213372,"kuala lumpur",c(101.6859031, 3.213372)
"batu pahat, johor",102.9288341,1.849442,"johor",c(102.9288341, 1.849442)
"besut, terengganu",102.55423,5.8287063,"terengganu",c(102.55423, 5.8287063)
"bukit rambai, melaka",102.1890042,2.2530034,"melaka",c(102.1890042, 2.2530034)
"cheras, w.p. kuala lumpur",101.7259197,3.1068447,"cheras",c(101.7259197, 3.1068447)
"indera mahkota kuantan, pahang",103.296973,3.820763,"pahang",c(103.296973, 3.820763)
"Institut Latihan Perindustrian (ILP) Kangar",100.2117421,6.4274919,"perlis",c(100.2117421, 6.4274919)
"Institut Perguruan Malaysia, Temenggong Ibrahim, Larkin, Johor Bharu",103.7379143,1.4925125,"johor",c(103.7379143, 1.4925125)
"jerantut, pahang",102.3620378,3.937395,"pahang",c(102.3620378, 3.937395)
"kangar, perlis",100.1983709,6.440633,"perlis",c(100.1983709, 6.440633)
"kemaman, terengganu",103.4253518,4.231592,"terengganu",c(103.4253518, 4.231592)
"klang, selangor",101.4455621,3.044917,"selangor",c(101.4455621, 3.044917)
"kluang, johor",103.3356272,2.0681262,"johor",c(103.3356272, 2.0681262)
"Kolej MARA, Banting",101.6236878,2.8198904,"selangor",c(101.6236878, 2.8198904)
"Komplek Sukan Langkawi, Kedah",99.8584233,6.3314715,"kedah",c(99.8584233, 6.3314715)
"kota bharu, kelantan",102.2404869,6.1254326,"kelantan",c(102.2404869, 6.1254326)
"kota tinggi, johor",103.8990801,1.7289043,"johor",c(103.8990801, 1.7289043)
"kuala selangor, selangor",101.2541883,3.3332267,"selangor",c(101.2541883, 3.3332267)
"kuala terengganu, terengganu",103.1412157,5.3283231,"terengganu",c(103.1412157, 5.3283231)
"Kuarters TNB, Paka-Kertih",103.4330782,4.602337,"terengganu",c(103.4330782, 4.602337)
"kulim hi-tech, kedah",100.563079,5.442551,"kedah",c(100.563079, 5.442551)
"langkawi, kedah",99.8,6.35,"kedah",c(99.8, 6.35)
"larkin, johor",103.7347091,1.4915057,"johor",c(103.7347091, 1.4915057)
"minden, penang",100.3054342,5.365491,"penang",c(100.3054342, 5.365491)
"muar, johor",102.5848717,2.0630519,"johor",c(102.5848717, 2.0630519)
"nilai, negeri sembilan",101.7988711,2.802455,"negeri sembilan",c(101.7988711, 2.802455)
"paka, terengganu",103.4399588,4.626581,"terengganu",c(103.4399588, 4.626581)
"pasir gudang, johor",103.9029689,1.470288,"johor",c(103.9029689, 1.470288)
"pegoh ipoh, perak",101.0725901,4.5373866,"perak",c(101.0725901, 4.5373866)
"Pej. Kajicuaca Batu Embun, Jerantut",102.3619889,3.956339,"pahang",c(102.3619889, 3.956339)
"Pejabat Pentadbiran Daerah Manjung, Perak",100.6995317,4.2139075,"perak",c(100.6995317, 4.2139075)
"pengerang, johor",104.1111109,1.3647023,"johor",c(104.1111109, 1.3647023)
"petaling jaya, selangor",101.5944885,3.1278871,"selangor",c(101.5944885, 3.1278871)
"port dickson, negeri sembilan",101.7962932,2.52254,"negeri sembilan",c(101.7962932, 2.52254)
"Pusat Sumber Pendidikan N.S. Port Dickson",101.7962932,2.52254,"negeri sembilan",c(101.7962932, 2.52254)
"putrajaya, w.p. putrajaya",101.696445,2.926361,"putrajaya",c(101.696445, 2.926361)
"rompin, pahang",103.4860593,2.7959053,"pahang",c(103.4860593, 2.7959053)
"seberang jaya, penang",100.3989242,5.3818942,"penang",c(100.3989242, 5.3818942)
"seberang perai, penang",100.4139476,5.3700335,"penang",c(100.4139476, 5.3700335)
"segamat, johor",102.8207542,2.50346,"johor",c(102.8207542, 2.50346)
"Sek. Keb. Bakar Arang, Sungai Petani",100.4776837,5.6279953,"kedah",c(100.4776837, 5.6279953)
"Sek. Keb. Balok Baru, Kuantan",103.37006,3.93803,"pahang",c(103.37006, 3.93803)
"Sek. Keb. Bandar Utama, Petaling Jaya",101.6159551,3.147911,"selangor",c(101.6159551, 3.147911)
"Sek. Keb. Batu Muda, Batu Muda, Kuala Lumpur",101.6835851,3.212642,"kuala lumpur",c(101.6835851, 3.212642)
"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",100.388214,5.392853,"penang",c(100.388214, 5.392853)
"Sek. Keb. Chabang Tiga, Kuala Terengganu",103.1221388,5.3100473,"terengganu",c(103.1221388, 5.3100473)
"Sek. Keb. Indera Mahkota, Kuantan",103.3390323,3.8771509,"pahang",c(103.3390323, 3.8771509)
"Sek. Keb. Putrajaya 8(2), Jln P8/E2, Presint 8, Putrajaya",101.6878964,2.9398469,"putrajaya",c(101.6878964, 2.9398469)
"Sek. Keb. Seberang Jaya II, Perai",100.3989242,5.3818942,"penang",c(100.3989242, 5.3818942)
"Sek. Keb. TTDI Jaya, Shah Alam",101.558523,3.104323,"selangor",c(101.558523, 3.104323)
"Sek. Men. (P) Raja Zarina, Kelang",101.4096271,3.0112046,"selangor",c(101.4096271, 3.0112046)
"Sek. Men. Agama Mergong, Alor Setar",100.3471322,6.1399018,"kedah",c(100.3471322, 6.1399018)
